Time (hours),log10 CFU/mL (Blank),Time (hours),log10 CFU/mL (COL 0.125µg/mL),Time (hours),log10 CFU/mL (MINO 1µg/mL),Time (hours),log10 CFU/mL (MEM 4µg/mL),Time (hours),log10 CFU/mL (RFP 0.06µg/mL),Time (hours),log10 CFU/mL (COL 0.125µg/mL + MEM 4µg/mL),Time (hours),log10 CFU/mL (COL 0.125µg/mL + MINO 1µg/mL),Time (hours),log10 CFU/mL (COL 0.125µg/mL + RFP 0.06µg/mL)
0,6.2,0,6.2,0,6.2,0,6.2,0,6.2,0,6.2,0,6.2,0,6.2
2,8.5,2,7.0,2,7.5,2,8.0,2,,2,0.5,2,0.5,2,0.5
4,9.5,4,8.0,4,8.5,4,,4,9.0,4,0.0,4,0.0,4,0.0
6,10.0,6,9.0,6,9.0,6,9.5,6,9.0,6,0.0,6,0.0,6,1.0
8,10.0,8,9.5,8,9.5,8,10.0,8,,8,0.0,8,0.0,8,2.0
10,10.5,10,10.0,10,9.5,10,10.0,10,,10,0.0,10,0.0,10,2.0
24,9.5,24,10.0,24,9.0,24,10.0,24,,24,0.0,24,0.0,24,2.0
12,,12,10.0,12,9.5,12,10.0,12,,12,0.0,12,0.0,12,1.0
22,,22,10.0,22,9.0,22,10.0,22,,22,0.0,22,0.0,22,2.0
26,,26,10.5,26,,26,,26,,26,,26,,26,
