Time (hours),log10 CFU/mL (Condition 1),Time (hours),log10 CFU/mL (Condition 2),Time (hours),log10 CFU/mL (Condition 3),Time (hours),log10 CFU/mL (Condition 4),Time (hours),log10 CFU/mL (Condition 5)
0,6.0,0,6.0,0,6.0,0,6.0,0,6.0
4,7.8,4,,4,2.0,4,7.8,4,2.5
6,8.3,6,,6,2.0,6,7.8,6,2.2
8,8.5,8,,8,1.8,8,7.8,8,2.0
10,8.7,10,,10,1.5,10,7.8,10,1.8
12,8.8,12,2.5,12,1.5,12,7.8,12,1.5
24,9.2,24,,24,1.5,24,7.9,24,0.7
2,,2,4.2,2,2.3,2,7.3,2,3.0
20,,20,2.8,20,1.5,20,7.8,20,0.8
14,,14,,14,1.5,14,7.8,14,1.3
16,,16,,16,1.5,16,7.8,16,1.2
18,,18,,18,1.5,18,7.8,18,1.0
22,,22,,22,1.5,22,7.8,22,
