Time (hours),log10 CFU/mL (Condition 1),Time (hours),log10 CFU/mL (Condition 2),Time (hours),log10 CFU/mL (Condition 3),Time (hours),log10 CFU/mL (Condition 4),Time (hours),log10 CFU/mL (Condition 5),Time (hours),log10 CFU/mL (Condition 6)
0,6.1,0,6.1,0,6.1,0,6.1,0,6.1,0,6.1
2,5.9,2,7.2,2,2.5,2,3.8,2,6.3,2,5.8
4,6.2,4,8.1,4,1.2,4,8.2,4,2.5,4,6.8
6,6.8,6,8.2,6,1.0,6,8.0,6,2.3,6,2.8
8,7.0,8,8.5,8,1.5,8,8.3,8,2.6,8,2.5
10,7.5,10,8.7,10,,10,8.3,10,2.8,10,2.4
12,8.0,12,8.9,12,,12,8.4,12,2.9,12,1.8
24,8.0,24,8.3,24,0.5,24,8.0,24,,24,0.8
14,,14,9.0,14,,14,,14,2.8,14,1.5
16,,16,,16,,16,,16,2.7,16,1.3
18,,18,,18,,18,,18,2.5,18,1.2
20,,20,,20,,20,,20,2.3,20,1.0
22,,22,,22,,22,,22,2.0,22,0.9
