Time (hours),log10 CFU/mL (Condition 1),Time (hours),log10 CFU/mL (Condition 2),Time (hours),log10 CFU/mL (Condition 3),Time (hours),log10 CFU/mL (Condition 4),Time (hours),log10 CFU/mL (Condition 5),Time (hours),log10 CFU/mL (Condition 6)
0,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,6.0
2,7.5,2,7.0,2,3.0,2,8.2,2,3.5,2,7.0
4,8.8,4,7.5,4,1.0,4,8.0,4,3.8,4,0.5
6,9.0,6,7.8,6,0.8,6,8.0,6,3.0,6,0.5
8,9.1,8,7.9,8,0.7,8,8.1,8,3.2,8,1.0
10,9.0,10,7.8,10,,10,8.2,10,3.3,10,1.0
12,9.1,12,7.9,12,,12,8.1,12,3.4,12,1.5
14,9.0,14,7.8,14,,14,8.0,14,,14,1.5
24,9.2,24,8.0,24,,24,8.1,24,,24,3.0
16,,16,7.9,16,,16,8.0,16,,16,1.8
18,,18,7.9,18,,18,8.0,18,,18,2.0
20,,20,7.9,20,,20,8.0,20,,20,2.5
22,,22,7.9,22,,22,8.0,22,,22,2.8
