Time (hours),log10 CFU/mL (Condition 1),Time (hours),log10 CFU/mL (Condition 2),Time (hours),log10 CFU/mL (Condition 3),Time (hours),log10 CFU/mL (Condition 4),Time (hours),log10 CFU/mL (Condition 5)
0,6.1,0,6.2,0,6.3,0,6.0,0,6.0
2,5.9,2,6.3,2,1.0,2,3.0,2,2.5
4,6.5,4,6.2,4,0.8,4,3.2,4,2.5
6,6.7,6,6.0,6,0.7,6,3.0,6,2.5
8,6.8,8,6.4,8,0.7,8,3.3,8,2.5
10,6.9,10,6.5,10,0.7,10,3.5,10,2.5
12,7.8,12,6.5,12,0.7,12,4.5,12,2.5
14,7.9,14,6.6,14,0.7,14,5.0,14,2.5
24,8.5,24,6.6,24,0.7,24,6.7,24,1.5
16,,16,6.6,16,0.7,16,5.5,16,1.5
18,,18,6.6,18,0.7,18,6.0,18,1.5
22,,22,6.6,22,,22,6.6,22,
20,,20,,20,,20,6.5,20,1.5
