"markers_detected": true,
"curve_label": "Condition 1",
{"x": 0, "y": 6},
{"x": 2, "y": 1},
{"x": 4, "y": 1},
{"x": 6, "y": 1},
{"x": 8, "y": 2},
{"x": 10, "y": 2},
{"x": 12, "y": 1.5},
{"x": 24, "y": 2}
},
"curve_label": "Condition 2",
{"x": 0, "y": 6},
{"x": 2, "y": 8},
{"x": 4, "y": 7.5},
{"x": 6, "y": 7.5},
{"x": 8, "y": 7.5},
{"x": 10, "y": 7.5},
{"x": 12, "y": 7.5},
{"x": 24, "y": 7.8}
},
"curve_label": "Condition 3",
{"x": 0, "y": 6},
{"x": 2, "y": 6.2},
{"x": 4, "y": 6.5},
{"x": 6, "y": 6.7},
{"x": 8, "y": 6.8},
{"x": 10, "y": 7},
{"x": 12, "y": 7.2},
{"x": 24, "y": 8.3}
},
"curve_label": "Condition 4",
{"x": 0, "y": 6},
{"x": 2, "y": 1.5},
{"x": 4, "y": 1.5},
{"x": 6, "y": 1.5},
{"x": 8, "y": 1.8},
{"x": 10, "y": 2},
{"x": 12, "y": 2},
{"x": 24, "y": 2.5}
},
"curve_label": "Condition 5",
{"x": 0, "y": 6},
{"x": 2, "y": 2},
{"x": 4, "y": 2.5},
{"x": 6, "y": 1},
{"x": 8, "y": 1},
{"x": 10, "y": 1},
{"x": 12, "y": 1},
{"x": 24, "y": 0.7}
},
"curve_label": "Condition 6",
{"x": 0, "y": 6},
{"x": 2, "y": 1},
{"x": 4, "y": 1},
{"x": 6, "y": 1},
{"x": 8, "y": 2},
{"x": 10, "y": 2},
{"x": 12, "y": 1.5},
{"x": 24, "y": 2}
],
"csv_output": "Time (hours),log10 CFU/mL (Condition 1),Time (hours),log10 CFU/mL (Condition 2),Time (hours),log10 CFU/mL (Condition 3),Time (hours),log10 CFU/mL (Condition 4),Time (hours),log10 CFU/mL (Condition 5),Time (hours),log10 CFU/mL (Condition 6)\n0,6,0,6,0,6,0,6,0,6,0,6\n2,1,2,8,2,6.2,2,1.5,2,2,2,1\n4,1,4,7.5,4,6.5,4,1.5,4,2.5,4,1\n6,1,6,7.5,6,6.7,6,1.5,6,1,6,1\n8,2,8,7.5,8,6.8,8,1.8,8,1,8,2\n10,2,10,7.5,10,7,10,2,10,1,10,2\n12,1.5,12,7.5,12,7.2,12,2,12,1,12,1.5\n24,2,24,7.8,24,8.3,24,2.5,24,0.7,24,2",
