Time (hours),log10 CFU/mL (Condition 1),Time (hours),log10 CFU/mL (Condition 2),Time (hours),log10 CFU/mL (Condition 3),Time (hours),log10 CFU/mL (Condition 4),Time (hours),log10 CFU/mL (Condition 5),Time (hours),log10 CFU/mL (Condition 6)
0,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,6.0
2,7.5,2,7.8,2,6.2,2,1.5,2,2.0,2,1.0
4,7.6,4,7.5,4,6.5,4,1.2,4,1.0,4,0.8
6,7.7,6,7.4,6,6.7,6,1.3,6,0.8,6,1.5
8,7.8,8,7.3,8,6.8,8,1.5,8,0.7,8,1.8
10,7.9,10,7.5,10,7.0,10,1.8,10,0.6,10,1.9
12,7.8,12,7.6,12,7.2,12,2.0,12,0.5,12,1.8
14,7.8,14,7.5,14,7.5,14,2.0,14,0.4,14,1.7
16,7.8,16,7.5,16,7.8,16,2.1,16,0.3,16,1.6
18,7.8,18,7.5,18,8.0,18,2.2,18,0.3,18,1.5
20,7.8,20,7.6,20,8.2,20,2.3,20,0.3,20,1.4
22,7.8,22,7.7,22,8.3,22,2.5,22,0.3,22,1.3
24,7.9,24,7.7,24,8.5,24,2.8,24,0.3,24,1.2
